Protocol,Flow Duration,Fwd Packet Length Std,Bwd Packet Length Min,Bwd Packet Length Std,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Packet Length Min,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Std,Idle Std,Label,Traffic Type,Traffic Subtype,Fwd_Bwd_Packet_Ratio,Fwd_Bwd_Length_Ratio,Fwd_Bwd_PacketLengthMean_Ratio,Avg_Bytes_per_s,Active_Idle_Ratio,Win_Init_Ratio,cluster
6.0,186308.0,297.6919548795365,0.0,447.44645862196,26.83728020267514,46577.0,55755.70978832572,112008.0,112008.0,0.0,423.0,211.5,269.4076836320746,0.0,0.0,0.0,0.0,76.0,96.0,0.0,199.3333333333333,328.47019144309985,107892.66666666669,1.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,1.0,239.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,0.0,0.0,Malicious,DoS,DoS HTTP,0.6666664444445185,0.5432258057506764,0.8148387065232049,2148.771568227523,0.0,1.0059642127118007,0.0
6.0,202858.0,0.0,0.0,564.9783181680515,19.71822654270475,67619.33333333333,33811.978710707444,202858.0,202858.0,0.0,36441.0,36441.0,0.0,0.0,0.0,0.0,0.0,52.0,64.0,0.0,159.8,357.3236628044664,127680.2,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,199.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,Malicious,DoS,DoS HTTP,0.99999950000025,0.0,0.0,1319.4779928159926,0.0,1.0139164989782972,0.0
6.0,52474.0,0.0,601.0,0.0,38.114113656286925,52474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,32.0,0.0,200.3333333333333,346.9875117829651,120400.33333333334,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,300.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,Malicious,DoS,DoS HTTP,0.999999000001,0.0,0.0,3830.468422456836,0.0,0.0,0.0
6.0,97041.0,0.0,603.0,0.0,20.60984532311085,97041.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,32.0,0.0,201.0,348.14221232134435,121203.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,301.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,Malicious,DoS,DoS HTTP,0.999999000001,0.0,0.0,2078.1594034136774,0.0,0.0,0.0
6.0,101157.0,0.0,603.0,0.0,19.771246675959155,101157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,32.0,0.0,201.0,348.14221232134435,121203.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,301.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,Malicious,DoS,DoS HTTP,0.999999000001,0.0,0.0,1993.600706492548,0.0,0.0,0.0
6.0,109742.0,0.0,603.0,0.0,18.22456306610049,109742.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,32.0,0.0,201.0,348.14221232134435,121203.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,301.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,Malicious,DoS,DoS HTTP,0.999999000001,0.0,0.0,1837.6434424984657,0.0,0.0,0.0
6.0,59239.0,0.0,603.0,0.0,33.76154222724894,59239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,32.0,0.0,201.0,348.14221232134435,121203.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,301.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,Malicious,DoS,DoS HTTP,0.999999000001,0.0,0.0,3404.2888412476022,0.0,0.0,0.0
6.0,84845.0,0.0,605.0,0.0,23.572396723436853,84845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,32.0,0.0,201.66666666666663,349.2969128597236,122008.33333333331,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,302.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,Malicious,DoS,DoS HTTP,0.999999000001,0.0,0.0,2384.740801854362,0.0,0.0,0.0
6.0,63139.0,0.0,605.0,0.0,31.676143112814582,63139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,32.0,0.0,201.66666666666663,349.2969128597236,122008.33333333331,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,302.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,Malicious,DoS,DoS HTTP,0.999999000001,0.0,0.0,3204.569811579742,0.0,0.0,0.0
6.0,144369.0,0.0,605.0,0.0,13.85338957809502,144369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,32.0,0.0,201.66666666666663,349.2969128597236,122008.33333333331,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,302.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,Malicious,DoS,DoS HTTP,0.999999000001,0.0,0.0,1401.5012456506129,0.0,0.0,0.0
